*it=128000 cost=0.39978963136672974 creg=0.07767700672149658
(0.63329999999999997, 0.98839999999999995, 0.99980000000000002)
(0.60680000000000001, 0.98280000000000001, 0.99909999999999999)
*it=129000 cost=0.4118342399597168 creg=0.0774123191833496
(0.628, 0.98629999999999995, 0.99950000000000006)
(0.60670000000000002, 0.98329999999999995, 0.99950000000000006)
*it=130000 cost=0.4237484335899353 creg=0.07714460849761963
(0.61990000000000001, 0.98599999999999999, 0.99950000000000006)
(0.59450000000000003, 0.98129999999999995, 0.99970000000000003)
*it=131000 cost=0.4196300506591797 creg=0.07686785221099854
(0.61350000000000005, 0.98750000000000004, 0.99960000000000004)
(0.6018, 0.98260000000000003, 0.999)
*it=132000 cost=0.3889217972755432 creg=0.07659750938415527
(0.63870000000000005, 0.99099999999999999, 0.99990000000000001)
(0.61280000000000001, 0.98399999999999999, 0.99860000000000004)
*it=133000 cost=0.40897274017333984 creg=0.0763261079788208
(0.61839999999999995, 0.98819999999999997, 0.99970000000000003)
(0.59919999999999995, 0.9839, 0.99909999999999999)
*it=134000 cost=0.3950645625591278 creg=0.07605900764465333
(0.64059999999999995, 0.99029999999999996, 0.99970000000000003)
(0.61870000000000003, 0.98519999999999996, 0.99960000000000004)
*it=135000 cost=0.40655335783958435 creg=0.07579905033111572
(0.62590000000000001, 0.98839999999999995, 0.99950000000000006)
(0.60429999999999995, 0.9829, 0.99909999999999999)
*it=136000 cost=0.38758566975593567 creg=0.07553067207336427
(0.63759999999999994, 0.99109999999999998, 0.99960000000000004)
(0.61250000000000004, 0.98250000000000004, 0.99919999999999998)
*it=137000 cost=0.41890454292297363 creg=0.0752739143371582
(0.61709999999999998, 0.98729999999999996, 0.99950000000000006)
(0.58809999999999996, 0.98309999999999997, 0.99909999999999999)
*it=138000 cost=0.40605244040489197 creg=0.07502233505249023
(0.62819999999999998, 0.98860000000000003, 0.99980000000000002)
(0.60229999999999995, 0.98360000000000003, 0.99939999999999996)
*it=139000 cost=0.3955378234386444 creg=0.0747658920288086
(0.623, 0.99150000000000005, 0.99990000000000001)
(0.6119, 0.98519999999999996, 0.99970000000000003)
*it=140000 cost=0.4004564583301544 creg=0.07451626777648926
(0.62809999999999999, 0.98929999999999996, 0.99960000000000004)
(0.60899999999999999, 0.98419999999999996, 0.99939999999999996)
*it=141000 cost=0.4057685136795044 creg=0.07426923274993896
(0.62190000000000001, 0.98899999999999999, 0.99970000000000003)
(0.59999999999999998, 0.9829, 0.99939999999999996)
*it=142000 cost=0.3931973874568939 creg=0.07400778770446778
(0.63990000000000002, 0.9899, 0.99980000000000002)
(0.61629999999999996, 0.98409999999999997, 0.99929999999999997)
*it=143000 cost=0.4036126434803009 creg=0.07376548290252685
(0.62, 0.98919999999999997, 0.99990000000000001)
(0.60099999999999998, 0.98509999999999998, 0.99919999999999998)
*it=144000 cost=0.3747346103191376 creg=0.07351527690887451
(0.64319999999999999, 0.99160000000000004, 0.99980000000000002)
(0.61140000000000005, 0.98599999999999999, 0.99950000000000006)
*it=145000 cost=0.3909112215042114 creg=0.07326139450073242
(0.6371, 0.98939999999999995, 0.99980000000000002)
(0.60640000000000005, 0.98219999999999996, 0.99890000000000001)
*it=146000 cost=0.39182382822036743 creg=0.073019380569458
(0.62870000000000004, 0.98880000000000001, 0.99990000000000001)
(0.61150000000000004, 0.98429999999999995, 0.99909999999999999)
*it=147000 cost=0.3878135085105896 creg=0.07277860164642334
(0.63839999999999997, 0.99060000000000004, 0.99980000000000002)
(0.60750000000000004, 0.98209999999999997, 0.99919999999999998)
*it=148000 cost=0.3913804292678833 creg=0.07253469467163086
(0.63929999999999998, 0.98829999999999996, 0.99919999999999998)
(0.61309999999999998, 0.98540000000000005, 0.99960000000000004)
*it=149000 cost=0.39223387837409973 creg=0.07229971885681152
(0.62970000000000004, 0.99009999999999998, 0.99960000000000004)
(0.61280000000000001, 0.98229999999999995, 0.99919999999999998)
*it=150000 cost=0.3885720670223236 creg=0.07205996036529541
(0.63360000000000005, 0.98939999999999995, 0.99970000000000003)
(0.60580000000000001, 0.98560000000000003, 0.99919999999999998)
*it=151000 cost=0.3762252926826477 creg=0.07182560443878173
(0.63770000000000004, 0.99129999999999996, 0.99990000000000001)
(0.61899999999999999, 0.98670000000000002, 0.99950000000000006)
*it=152000 cost=0.4001848101615906 creg=0.07159043788909912
(0.62780000000000002, 0.98929999999999996, 0.99990000000000001)
(0.60050000000000003, 0.98650000000000004, 0.99909999999999999)
*it=153000 cost=0.38714346289634705 creg=0.07136423587799072
(0.63649999999999995, 0.98970000000000002, 1.0)
(0.6099, 0.98399999999999999, 0.99939999999999996)
*it=154000 cost=0.4085051417350769 creg=0.07114518642425537
(0.623, 0.98670000000000002, 0.99960000000000004)
(0.59899999999999998, 0.98450000000000004, 0.99929999999999997)
*it=155000 cost=0.3861047029495239 creg=0.0709178876876831
(0.63649999999999995, 0.9899, 1.0)
(0.61140000000000005, 0.98360000000000003, 0.99939999999999996)
*it=156000 cost=0.3715912699699402 creg=0.07069366931915283
