(0.61280000000000001, 0.98580000000000001, 0.99929999999999997)
(0.59930000000000005, 0.9798, 0.99929999999999997)
*it=121000 cost=0.5587083101272583 creg=0.20065710067749024
(0.60450000000000004, 0.98319999999999996, 0.99980000000000002)
(0.58930000000000005, 0.97850000000000004, 0.99880000000000002)
*it=122000 cost=0.5556203126907349 creg=0.19958419799804689
(0.61329999999999996, 0.98440000000000005, 0.99950000000000006)
(0.60219999999999996, 0.98309999999999997, 0.99890000000000001)
*it=123000 cost=0.5448204278945923 creg=0.1985276222229004
(0.62160000000000004, 0.98550000000000004, 0.99960000000000004)
(0.60399999999999998, 0.9829, 0.99970000000000003)
*it=124000 cost=0.5471468567848206 creg=0.1974702072143555
(0.621, 0.98380000000000001, 0.99929999999999997)
(0.59330000000000005, 0.98050000000000004, 0.99909999999999999)
*it=125000 cost=0.568869948387146 creg=0.19643321990966797
(0.59750000000000003, 0.98229999999999995, 0.99909999999999999)
(0.59309999999999996, 0.97950000000000004, 0.99909999999999999)
*it=126000 cost=0.5355701446533203 creg=0.1953983497619629
(0.62729999999999997, 0.98670000000000002, 0.99950000000000006)
(0.59160000000000001, 0.98119999999999996, 0.999)
*it=127000 cost=0.5254409909248352 creg=0.19436653137207033
(0.62680000000000002, 0.98870000000000002, 0.99960000000000004)
(0.59819999999999995, 0.98370000000000002, 0.99939999999999996)
*it=128000 cost=0.5340213775634766 creg=0.19334104537963867
(0.62309999999999999, 0.98550000000000004, 0.99990000000000001)
(0.60550000000000004, 0.98250000000000004, 0.99950000000000006)
*it=129000 cost=0.5362339019775391 creg=0.19232866287231445
(0.62090000000000001, 0.98550000000000004, 0.99970000000000003)
(0.60140000000000005, 0.98299999999999998, 0.99960000000000004)
*it=130000 cost=0.5893399119377136 creg=0.19132339477539062
(0.58279999999999998, 0.9788, 0.99960000000000004)
(0.56289999999999996, 0.9758, 0.99939999999999996)
*it=131000 cost=0.5603055953979492 creg=0.1903067970275879
(0.59770000000000001, 0.98429999999999995, 0.99939999999999996)
(0.59389999999999998, 0.9819, 0.99850000000000005)
*it=132000 cost=0.5267362594604492 creg=0.18930816650390625
(0.62770000000000004, 0.98670000000000002, 0.99970000000000003)
(0.60309999999999997, 0.98280000000000001, 0.99860000000000004)
*it=133000 cost=0.524872899055481 creg=0.18831735610961914
(0.61950000000000005, 0.9869, 0.99950000000000006)
(0.60550000000000004, 0.98299999999999998, 0.99919999999999998)
*it=134000 cost=0.5390125513076782 creg=0.1873269844055176
(0.61939999999999995, 0.98550000000000004, 0.99960000000000004)
(0.60929999999999995, 0.98280000000000001, 0.99919999999999998)
*it=135000 cost=0.5299334526062012 creg=0.18634891510009766
(0.61950000000000005, 0.98580000000000001, 0.99960000000000004)
(0.60360000000000003, 0.98270000000000002, 0.99929999999999997)
*it=136000 cost=0.527245044708252 creg=0.18537527084350586
(0.61899999999999999, 0.98729999999999996, 0.99960000000000004)
(0.5958, 0.98140000000000005, 0.99880000000000002)
*it=137000 cost=0.5285599231719971 creg=0.18441017150878908
(0.61750000000000005, 0.98699999999999999, 0.99950000000000006)
(0.59750000000000003, 0.98340000000000005, 0.999)
*it=138000 cost=0.5328709483146667 creg=0.18345195770263673
(0.61609999999999998, 0.98580000000000001, 0.99960000000000004)
(0.60089999999999999, 0.98440000000000005, 0.99939999999999996)
*it=139000 cost=0.5163211822509766 creg=0.18249872207641601
(0.60960000000000003, 0.99019999999999997, 1.0)
(0.59960000000000002, 0.98450000000000004, 0.99960000000000004)
*it=140000 cost=0.5319641828536987 creg=0.18154870986938476
(0.6149, 0.98729999999999996, 0.99950000000000006)
(0.59840000000000004, 0.98329999999999995, 0.99929999999999997)
