(0.54220000000000002, 0.94679999999999997, 0.99199999999999999)
*it=130000 cost=1.007890224456787 creg=0.4528842449188233
(0.53920000000000001, 0.95369999999999999, 0.99419999999999997)
(0.52170000000000005, 0.9395, 0.99099999999999999)
*it=131000 cost=0.9732270836830139 creg=0.44739460945129395
(0.55420000000000003, 0.95340000000000003, 0.996)
(0.52829999999999999, 0.9466, 0.99229999999999996)
*it=132000 cost=0.9522175788879395 creg=0.4420312881469727
(0.56169999999999998, 0.95830000000000004, 0.99570000000000003)
(0.5393, 0.94440000000000002, 0.99270000000000003)
*it=133000 cost=0.9573972225189209 creg=0.43676338195800785
(0.56169999999999998, 0.95650000000000002, 0.99490000000000001)
(0.54330000000000001, 0.94279999999999997, 0.99029999999999996)
*it=134000 cost=0.9447802901268005 creg=0.43163418769836426
(0.55600000000000005, 0.95420000000000005, 0.99590000000000001)
(0.53769999999999996, 0.94159999999999999, 0.99260000000000004)
*it=135000 cost=0.971169650554657 creg=0.4265289306640625
(0.53920000000000001, 0.95269999999999999, 0.99539999999999995)
(0.53439999999999999, 0.94310000000000005, 0.99180000000000001)
*it=136000 cost=0.9594181776046753 creg=0.42147412300109866
(0.5534, 0.95640000000000003, 0.99509999999999998)
(0.53290000000000004, 0.94140000000000001, 0.99139999999999995)
*it=137000 cost=0.9329311847686768 creg=0.41651339530944825
(0.57069999999999999, 0.95720000000000005, 0.99450000000000005)
(0.54279999999999995, 0.94569999999999999, 0.99339999999999995)
*it=138000 cost=0.917197585105896 creg=0.4116540908813477
(0.55759999999999998, 0.95860000000000001, 0.99639999999999995)
(0.54790000000000005, 0.95169999999999999, 0.99329999999999996)
*it=139000 cost=0.9268733859062195 creg=0.40692710876464844
(0.55030000000000001, 0.95879999999999999, 0.99570000000000003)
(0.5252, 0.94130000000000003, 0.99390000000000001)
*it=140000 cost=0.8932244777679443 creg=0.40224914550781254
(0.56869999999999998, 0.9597, 0.99729999999999996)
(0.54790000000000005, 0.94520000000000004, 0.99160000000000004)
*it=141000 cost=0.9071176648139954 creg=0.39769988059997563
(0.56789999999999996, 0.95899999999999996, 0.99560000000000004)
(0.54949999999999999, 0.95050000000000001, 0.99339999999999995)
*it=142000 cost=0.8901911973953247 creg=0.3931032419204712
(0.57230000000000003, 0.9607, 0.99619999999999997)
(0.54890000000000005, 0.94550000000000001, 0.99339999999999995)
*it=143000 cost=0.8931355476379395 creg=0.3887340068817139
(0.56759999999999999, 0.95840000000000003, 0.99560000000000004)
(0.53410000000000002, 0.9446, 0.99129999999999996)
*it=144000 cost=0.8647019267082214 creg=0.3842689037322998
(0.57509999999999994, 0.96340000000000003, 0.99639999999999995)
(0.54239999999999999, 0.94989999999999997, 0.99180000000000001)
*it=145000 cost=0.9014582633972168 creg=0.3799307823181153
(0.55940000000000001, 0.95779999999999998, 0.99560000000000004)
(0.54930000000000001, 0.95050000000000001, 0.99239999999999995)
*it=146000 cost=0.8945029973983765 creg=0.37571065425872807
(0.56430000000000002, 0.95440000000000003, 0.99580000000000002)
(0.54239999999999999, 0.94430000000000003, 0.99150000000000005)
*it=147000 cost=0.8832077980041504 creg=0.371519947052002
(0.55049999999999999, 0.9607, 0.99560000000000004)
(0.54169999999999996, 0.94379999999999997, 0.99180000000000001)
*it=148000 cost=0.8679137825965881 creg=0.36741964817047124
(0.57310000000000005, 0.95830000000000004, 0.99560000000000004)
(0.54369999999999996, 0.94920000000000004, 0.99160000000000004)
*it=149000 cost=0.8609039783477783 creg=0.36344423294067385
(0.58120000000000005, 0.95740000000000003, 0.99609999999999999)
(0.55079999999999996, 0.94679999999999997, 0.99099999999999999)
*it=150000 cost=0.8497322797775269 creg=0.3594566822052002
(0.56410000000000005, 0.96330000000000005, 0.99660000000000004)
(0.54310000000000003, 0.94650000000000001, 0.9919)
*it=151000 cost=0.845643162727356 creg=0.35559561252593996
(0.57350000000000001, 0.96120000000000005, 0.99680000000000002)
(0.55389999999999995, 0.95109999999999995, 0.99399999999999999)
*it=152000 cost=0.8631671667098999 creg=0.3517488956451416
(0.56530000000000002, 0.95850000000000002, 0.99529999999999996)
(0.55559999999999998, 0.94620000000000004, 0.99199999999999999)
*it=153000 cost=0.8503122329711914 creg=0.34798309803009037
(0.57110000000000005, 0.9587, 0.99590000000000001)
(0.54600000000000004, 0.94830000000000003, 0.99360000000000004)
*it=154000 cost=0.8886286020278931 creg=0.34431865215301516
(0.54510000000000003, 0.95350000000000001, 0.99490000000000001)
(0.52329999999999999, 0.94279999999999997, 0.99229999999999996)
*it=155000 cost=0.8281110525131226 creg=0.34067223072052005
(0.57020000000000004, 0.96199999999999997, 0.996)
(0.55059999999999998, 0.94630000000000003, 0.9919)
*it=156000 cost=0.8189913034439087 creg=0.3370830059051514
(0.57769999999999999, 0.96299999999999997, 0.996)
