*it=138000 cost=0.6831216216087341 creg=0.3735775709152222
(0.64800000000000002, 0.9899, 0.99960000000000004)
(0.61719999999999997, 0.98570000000000002, 0.99960000000000004)
*it=139000 cost=0.6751211881637573 creg=0.36859419345855715
(0.63700000000000001, 0.99170000000000003, 1.0)
(0.6069, 0.98609999999999998, 0.99929999999999997)
*it=140000 cost=0.6773459911346436 creg=0.3636730909347534
(0.63390000000000002, 0.99129999999999996, 0.99960000000000004)
(0.60529999999999995, 0.98529999999999995, 0.99939999999999996)
*it=141000 cost=0.6990521550178528 creg=0.3588580131530762
(0.61399999999999999, 0.98929999999999996, 0.99980000000000002)
(0.59719999999999995, 0.98329999999999995, 0.99960000000000004)
*it=142000 cost=0.6670726537704468 creg=0.3540935039520264
(0.64710000000000001, 0.98839999999999995, 0.99970000000000003)
(0.62019999999999997, 0.98350000000000004, 0.99929999999999997)
*it=143000 cost=0.7064807415008545 creg=0.34946296215057376
(0.60140000000000005, 0.98499999999999999, 0.99980000000000002)
(0.58109999999999995, 0.98019999999999996, 0.99909999999999999)
*it=144000 cost=0.6589086055755615 creg=0.3448339462280274
(0.63500000000000001, 0.99060000000000004, 0.99990000000000001)
(0.60189999999999999, 0.98470000000000002, 0.99960000000000004)
*it=145000 cost=0.6439594626426697 creg=0.340278697013855
(0.6492, 0.99029999999999996, 0.99980000000000002)
(0.622, 0.98340000000000005, 0.99909999999999999)
*it=146000 cost=0.6507031321525574 creg=0.33581132888793946
(0.64090000000000003, 0.98980000000000001, 0.99990000000000001)
(0.61619999999999997, 0.98470000000000002, 0.99909999999999999)
*it=147000 cost=0.6587789058685303 creg=0.33143458366394046
(0.62629999999999997, 0.98870000000000002, 0.99990000000000001)
(0.59389999999999998, 0.98070000000000002, 0.99919999999999998)
*it=148000 cost=0.6292374134063721 creg=0.3271035432815552
(0.65449999999999997, 0.99080000000000001, 0.99950000000000006)
(0.62790000000000001, 0.98599999999999999, 0.99939999999999996)
*it=149000 cost=0.6322520971298218 creg=0.32285676002502445
(0.64329999999999998, 0.99019999999999997, 0.99980000000000002)
(0.62090000000000001, 0.98309999999999997, 0.99929999999999997)
*it=150000 cost=0.6421754360198975 creg=0.31866633892059326
(0.62770000000000004, 0.9899, 0.99980000000000002)
(0.59999999999999998, 0.98470000000000002, 0.99939999999999996)
*it=151000 cost=0.6142222285270691 creg=0.3145933628082276
(0.64659999999999995, 0.99119999999999997, 1.0)
(0.623, 0.98640000000000005, 0.99960000000000004)
*it=152000 cost=0.6278164386749268 creg=0.3105493068695069
(0.63519999999999999, 0.99080000000000001, 1.0)
(0.60640000000000005, 0.98570000000000002, 0.99950000000000006)
*it=153000 cost=0.6172652244567871 creg=0.3065725088119507
(0.63780000000000003, 0.99080000000000001, 1.0)
(0.60229999999999995, 0.98609999999999998, 0.99970000000000003)
*it=154000 cost=0.6573281288146973 creg=0.30266737937927246
(0.60760000000000003, 0.98729999999999996, 0.99950000000000006)
(0.57879999999999998, 0.97989999999999999, 0.99939999999999996)
*it=155000 cost=0.6043038368225098 creg=0.2987928867340088
(0.64400000000000002, 0.99050000000000005, 1.0)
(0.60870000000000002, 0.98460000000000003, 0.99929999999999997)
*it=156000 cost=0.5884422063827515 creg=0.2950238466262817
(0.6542, 0.9929, 0.99990000000000001)
(0.62270000000000003, 0.98650000000000004, 0.99980000000000002)
