*it=0 cost=2.4620866775512695 creg=0.7562957763671876
(0.61639999999999995, 0.98570000000000002, 0.99970000000000003)
*it=119000 cost=0.4775240421295166 creg=0.16312716007232667
(0.63200000000000001, 0.99070000000000003, 0.99980000000000002)
(0.60340000000000005, 0.98360000000000003, 0.99970000000000003)
*it=120000 cost=0.48553580045700073 creg=0.16140116453170777
(0.63219999999999998, 0.98880000000000001, 0.99950000000000006)
(0.60599999999999998, 0.98229999999999995, 0.99950000000000006)
*it=121000 cost=0.4850251376628876 creg=0.1597422003746033
(0.62870000000000004, 0.9889, 1.0)
(0.60009999999999997, 0.9829, 0.99939999999999996)
*it=122000 cost=0.4658631384372711 creg=0.15809303522109985
(0.64800000000000002, 0.98970000000000002, 0.99980000000000002)
(0.60970000000000002, 0.98450000000000004, 0.999)
*it=123000 cost=0.45623549818992615 creg=0.1564780116081238
(0.65000000000000002, 0.9919, 0.99980000000000002)
(0.62390000000000001, 0.98729999999999996, 0.99980000000000002)
*it=124000 cost=0.4630143344402313 creg=0.1548924446105957
(0.65029999999999999, 0.98839999999999995, 0.99980000000000002)
(0.6139, 0.98360000000000003, 0.99950000000000006)
*it=125000 cost=0.46463149785995483 creg=0.15334675312042237
(0.64019999999999999, 0.99060000000000004, 0.99939999999999996)
(0.61799999999999999, 0.98529999999999995, 0.99929999999999997)
*it=126000 cost=0.45534372329711914 creg=0.15180128812789917
(0.65359999999999996, 0.99050000000000005, 0.99950000000000006)
(0.60489999999999999, 0.98309999999999997, 0.99909999999999999)
*it=127000 cost=0.4434029161930084 creg=0.15031838417053223
(0.6522, 0.99299999999999999, 0.99990000000000001)
(0.60160000000000002, 0.98550000000000004, 0.99950000000000006)
*it=128000 cost=0.46102994680404663 creg=0.1488547921180725
(0.63400000000000001, 0.9909, 0.99990000000000001)
(0.60980000000000001, 0.98419999999999996, 0.99929999999999997)
*it=129000 cost=0.479059100151062 creg=0.14738036394119264
(0.62139999999999995, 0.98760000000000003, 0.99990000000000001)
(0.59840000000000004, 0.98399999999999999, 0.99939999999999996)
*it=130000 cost=0.48941296339035034 creg=0.1459725618362427
(0.61880000000000002, 0.98760000000000003, 0.99980000000000002)
(0.5897, 0.98140000000000005, 0.99970000000000003)
*it=131000 cost=0.46197009086608887 creg=0.14453386068344118
(0.63349999999999995, 0.99019999999999997, 0.99970000000000003)
(0.60060000000000002, 0.98440000000000005, 0.99919999999999998)
*it=132000 cost=0.4395521879196167 creg=0.14312748908996584
(0.65610000000000002, 0.99150000000000005, 0.99990000000000001)
(0.61280000000000001, 0.98409999999999997, 0.99929999999999997)
*it=133000 cost=0.44987088441848755 creg=0.1417667031288147
(0.63800000000000001, 0.9919, 0.99970000000000003)
(0.60809999999999997, 0.98350000000000004, 0.99919999999999998)
*it=134000 cost=0.46034932136535645 creg=0.14038794040679933
(0.64229999999999998, 0.98999999999999999, 0.99950000000000006)
(0.6048, 0.98129999999999995, 0.99939999999999996)
*it=135000 cost=0.4368899166584015 creg=0.1390543222427368
(0.65169999999999995, 0.99170000000000003, 0.99990000000000001)
(0.62, 0.98340000000000005, 0.99919999999999998)
*it=136000 cost=0.4307190179824829 creg=0.13771871328353882
(0.64800000000000002, 0.99409999999999998, 0.99990000000000001)
(0.60840000000000005, 0.98319999999999996, 0.99939999999999996)
*it=137000 cost=0.5333542823791504 creg=0.13643232583999634
(0.57489999999999997, 0.98370000000000002, 0.99960000000000004)
(0.55430000000000001, 0.97340000000000004, 0.99909999999999999)
*it=138000 cost=0.45491036772727966 creg=0.1352090835571289
(0.63090000000000002, 0.98950000000000005, 0.99980000000000002)
(0.60540000000000005, 0.98429999999999995, 0.99960000000000004)
*it=139000 cost=0.43578898906707764 creg=0.13396886587142945
(0.64239999999999997, 0.99170000000000003, 1.0)
(0.60929999999999995, 0.98629999999999995, 0.99960000000000004)
*it=140000 cost=0.43467777967453003 creg=0.13276169300079346
(0.64280000000000004, 0.99250000000000005, 0.99970000000000003)
(0.6018, 0.98619999999999997, 0.99970000000000003)
*it=141000 cost=0.4624805748462677 creg=0.13157790899276733
(0.61770000000000003, 0.98880000000000001, 0.99980000000000002)
(0.6008, 0.98089999999999999, 0.99929999999999997)
*it=142000 cost=0.4329259395599365 creg=0.13036316633224487
(0.6502, 0.98999999999999999, 0.99990000000000001)
(0.61309999999999998, 0.98450000000000004, 0.99919999999999998)
*it=143000 cost=0.45851266384124756 creg=0.12924114465713502
(0.62150000000000005, 0.98950000000000005, 0.99980000000000002)
(0.59640000000000004, 0.9819, 0.99939999999999996)
